Beta_o,Beta_b,Beta_or,Beta_r,mu_EI_o,mu_IR_o,mu_EI_b,mu_IR_r,mu_IR_b,rho,k,eta,N,loglik,loglik.se
7.09602099,31.01240029,0.821815063,27.31414405,0.161101392,0.02,0.028711146,0.02,0.01,0.992639461,10,0.100076845,332915074,-438709.8541,1878.606412
6.410571006,52.75060573,1.096172864,46.86497118,0.113943684,0.02,0.029560247,0.02,0.01,0.995252134,10,0.099704292,332915074,-464053.3908,1.188284762
8.997907057,52.18150617,0.826664126,58.08937451,0.111412299,0.02,0.027567805,0.02,0.01,0.994369052,10,0.099690875,332915074,-481887.0801,650.4931102
11.73091127,35.01597562,0.851304178,50.79925291,0.085944083,0.02,0.027880231,0.02,0.01,0.99384837,10,0.100592343,332915074,-486657.4931,17459.57892
11.56205425,58.67749373,0.72617189,82.79648881,0.09750007,0.02,0.024010849,0.02,0.01,0.996046932,10,0.099340748,332915074,-517246.5081,20952.63716
5.697639859,48.13553109,1.236230365,44.50179967,0.139581617,0.02,0.030939597,0.02,0.01,0.994282361,10,0.100087132,332915074,-520095.7331,32356.26717
8.412826803,38.76901566,1.322752233,51.07848922,0.094843559,0.02,0.030184637,0.02,0.01,0.993674918,10,0.100039308,332915074,-567954.3708,7308.545976
6.515514467,60.2547175,0.876071442,54.02090548,0.181591695,0.02,0.029910674,0.02,0.01,0.991924479,10,0.099199835,332915074,-569476.0761,14764.52987
11.13757342,38.58463062,0.811615705,46.19363597,0.102885271,0.02,0.028830933,0.02,0.01,0.99349084,10,0.099495046,332915074,-572533.551,2301.648847
4.705618783,45.48008826,1.010957812,42.6108702,0.16306046,0.02,0.042345234,0.02,0.01,0.994254002,10,0.099760856,332915074,-579638.7823,5838.11475
7.152805204,43.28359108,0.854737927,73.40219231,0.184097195,0.02,0.027469115,0.02,0.01,0.995059675,10,0.099618405,332915074,-602578.3551,3063.835324
6.038852937,49.48644881,1.11307335,43.7604676,0.183217508,0.02,0.029646004,0.02,0.01,0.994312577,10,0.099532679,332915074,-612518.497,3695.544438
3.267005236,83.0584481,1.476709819,92.47705218,0.270074972,0.02,0.026373571,0.02,0.01,0.99463015,10,0.100576615,332915074,-618876.8649,1151.005497
9.069418987,58.48597176,0.7391313,70.94686903,0.137378774,0.02,0.028956327,0.02,0.01,0.993929438,10,0.099015514,332915074,-632462.6621,3550.152998
8.769624037,49.199992,1.028806488,57.62652318,0.13105651,0.02,0.028944906,0.02,0.01,0.99281248,10,0.099776053,332915074,-645679.4421,278.9315761
13.41946966,42.97378604,0.762726292,47.74004927,0.09357115,0.02,0.030277415,0.02,0.01,0.996043734,10,0.099319797,332915074,-646204.9341,945.0104288
6.488849256,39.01887524,0.942574108,68.70787173,0.203686936,0.02,0.029675361,0.02,0.01,0.994308527,10,0.100031731,332915074,-647550.9534,195.315025
6.979087555,63.47115129,1.274595535,64.6353929,0.168955626,0.02,0.027217907,0.02,0.01,0.994075738,10,0.099472101,332915074,-684005.0029,1552.596924
6.641742034,40.92092413,1.314903017,58.60220533,0.154328672,0.02,0.031404835,0.02,0.01,0.993208221,10,0.100222333,332915074,-700908.1062,2517.808829
5.10240287,45.08433369,1.476835754,42.3835379,0.158028682,0.02,0.06281073,0.02,0.01,0.994020221,10,0.09967028,332915074,-843270.7537,8505.749226
20,50,1,50,0.18,0.02,0.05,0.02,0.01,0.6,10,0.1,332915074,-2035317.68,718.5002672
